id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1202158819441237362,Cozy apartment with Balcony,120732965,Tommaso,,Dublin City,53.34159,-6.31589,Entire home/apt,180,1,4,2024-12-15,0.62,2,0,4,
1202209846269925801,Private room in City Center/ near Temple Bar,472077875,Daniela,,Dublin City,53.3411,-6.2796,Private room,50,1,51,2025-01-26,6.89,1,27,51,
1202218353209952882,Charming Loft with Rooftop Views in Ranelagh,74209560,Diarmuid,,Dublin City,53.32406,-6.25368,Entire home/apt,128,14,16,2025-02-17,2.14,13,160,16,
1202240667941919953,Clean & Modern Two-Bed in Dublin 6,74209560,Diarmuid,,Dublin City,53.32406,-6.25365,Entire home/apt,135,14,23,2025-02-02,3.08,13,122,23,
1202266546885090973,Everything at your doorstep!,586445412,Kristofor,,Dublin City,53.35108893323794,-6.248039339672844,Entire home/apt,199,1,15,2025-02-22,2.31,1,31,15,
1202300561955854994,Superb Apartment in the Heart of Ranelagh,74209560,Diarmuid,,Dublin City,53.32456445990444,-6.254630775984664,Entire home/apt,164,14,24,2025-02-03,3.51,13,148,24,
1202358051476354011,Best location in Dublin.,34289342,Emese,,Dublin City,53.34217,-6.27458,Entire home/apt,250,3,13,2024-10-21,1.69,1,60,13,
1212523999526233936,Single room in good location,593195261,Berivan,,Dublin City,53.389659709028834,-6.257273537787181,Private room,84,1,1,2024-08-02,0.14,1,185,1,
1212849383036680874,Bright 3BR Home w/ Open Living & Garden - Dublin 7,35084650,Anthony,,Dublin City,53.36846,-6.29182,Entire home/apt,197,2,14,2025-02-17,2.11,1,81,14,
1212882383552435992,Modern Spacious Studio Apartment,581767340,Michele,,South Dublin,53.29131,-6.38339,Entire home/apt,101,2,7,2024-09-28,1.00,1,35,7,
1212940588655211356,Bright Double Bedroom in Dublin 8,483024454,Lucas,,Dublin City,53.33079330922995,-6.264732901697715,Private room,,14,2,2025-01-02,0.38,90,0,2,
